Feature_ID	Female_108 - Total gene reads	Male_108 - Total gene reads
TR227|c0_g1_i1	46	72
TR228|c0_g1_i1	2	4
TR228|c0_g2_i1	0	15
TR229|c0_g1_i1	18	0
TR229|c0_g2_i1	10	8
TR230|c0_g1_i1	3	6
TR231|c0_g1_i1	3	6
TR232|c0_g1_i1	52	42
TR233|c1_g1_i1	20	18
TR234|c0_g1_i1	19	2
TR234|c0_g2_i1	1	0
TR235|c0_g1_i1	37	80
TR236|c0_g1_i1	5	9
TR237|c0_g1_i1	1	16
TR238|c0_g1_i1	7	12
TR239|c0_g1_i1	18	12
TR240|c0_g1_i1	3	8
TR241|c0_g1_i1	2	4
TR242|c0_g1_i1	0	3
TR242|c0_g2_i1	9	0
TR243|c0_g1_i1	11	15
TR244|c0_g1_i1	16	25
TR245|c0_g1_i1	4	0
TR245|c0_g1_i2	3	16
TR246|c0_g1_i1	117	524
TR247|c0_g1_i1	8	6
TR248|c0_g1_i1	4	4
TR249|c0_g1_i1	9	10
TR250|c0_g1_i1	12	32
TR251|c0_g1_i1	0	1
TR252|c0_g1_i1	0	0
TR253|c1_g1_i1	31	49
TR254|c0_g1_i1	8	7
TR255|c0_g1_i1	2	4
TR255|c0_g2_i1	5	7
TR256|c0_g1_i1	2	8
TR257|c0_g1_i1	15	5
TR258|c0_g1_i1	15	3
TR258|c0_g2_i1	2	0
TR259|c0_g1_i1	0	0
TR259|c0_g2_i1	11	20
TR260|c0_g1_i1	7	8
TR261|c0_g1_i1	2	14
TR262|c0_g1_i1	23	18
TR263|c0_g1_i1	3	8
TR264|c0_g1_i1	8	7
TR265|c0_g1_i1	3	17
TR266|c0_g1_i1	3	6
TR266|c0_g2_i1	34	34
TR267|c0_g1_i1	9	9
TR268|c0_g1_i1	15	9
TR268|c0_g2_i1	9	6
TR269|c1_g1_i1	14	9
TR270|c0_g1_i1	24	36
TR271|c0_g1_i1	10	2
TR272|c0_g1_i1	37	10
TR273|c0_g1_i1	5	7
TR273|c0_g2_i1	5	4
TR274|c0_g1_i1	11	12
TR275|c0_g1_i1	15	14
TR276|c0_g1_i1	43	45
TR277|c0_g1_i1	5	0
TR277|c0_g2_i1	12	8
TR278|c0_g1_i1	13	22
TR279|c0_g1_i1	20	11
TR280|c0_g1_i1	113	98
TR281|c0_g1_i1	8	13
TR282|c0_g1_i1	7	10
TR283|c0_g1_i1	7	0
TR283|c0_g1_i2	29	8
TR284|c0_g1_i1	83	147
TR284|c0_g2_i1	0	0
TR285|c0_g1_i1	24	35
TR286|c0_g1_i1	0	5
TR286|c0_g2_i1	6	0
TR287|c0_g1_i1	11	7
TR287|c0_g2_i1	22	3
TR288|c0_g1_i1	1	60
TR289|c0_g1_i1	7	4
TR290|c0_g1_i1	178	117
TR291|c0_g1_i1	13	6
TR292|c0_g1_i1	13	6
TR292|c0_g2_i1	0	0
TR293|c0_g1_i1	7	8
TR294|c0_g1_i1	6	7
TR295|c0_g1_i1	0	0
TR295|c0_g2_i1	197	79
TR296|c0_g1_i1	39	56
TR297|c0_g1_i1	3	0
TR298|c0_g1_i1	0	4
TR298|c0_g2_i1	1	14
TR298|c1_g1_i1	0	10
TR299|c0_g1_i1	3	0
TR299|c0_g2_i1	26	40
TR300|c0_g1_i1	9	10
TR301|c0_g1_i1	12	7
TR301|c0_g2_i1	0	0
TR302|c0_g1_i1	2	0
TR302|c0_g2_i1	0	19
TR303|c0_g1_i1	11	17
TR303|c0_g2_i1	0	0
TR304|c0_g1_i1	0	19
TR305|c0_g1_i1	7	5
TR306|c0_g1_i1	15	10
TR307|c0_g1_i1	25	25
TR308|c0_g1_i1	24	29
TR309|c0_g1_i1	6	10
TR310|c0_g1_i1	52	37
TR310|c0_g2_i1	104	122
TR311|c0_g1_i1	20	2
TR312|c0_g1_i1	78	101
TR313|c0_g1_i1	37	13
TR314|c0_g1_i1	1	20
TR315|c0_g1_i1	4	3
TR315|c0_g2_i1	4	21
TR316|c0_g1_i1	257	5
TR316|c0_g2_i1	0	0
TR317|c0_g1_i1	8	12
TR318|c0_g1_i1	16	16
TR319|c0_g1_i1	29	15
TR320|c0_g1_i1	5	11
TR320|c0_g2_i1	0	0
TR321|c0_g1_i1	7	5
TR322|c0_g1_i1	4	6
TR323|c0_g1_i1	70	72
TR324|c0_g1_i1	14	6
TR324|c0_g2_i1	41	80
TR325|c0_g1_i1	30	15
TR325|c0_g2_i1	0	0
TR326|c0_g1_i1	0	4
TR326|c0_g2_i1	47	168
TR327|c0_g1_i1	12	10
TR328|c0_g1_i1	1	13
TR328|c0_g2_i1	1	3
TR329|c0_g1_i1	68	52
TR330|c0_g1_i1	6	5
TR331|c0_g1_i1	1	11
TR332|c0_g1_i1	12	17
TR333|c0_g1_i1	14	28
TR334|c0_g1_i1	6	5
TR335|c0_g1_i1	1024	1042
TR336|c0_g1_i1	27	44
TR336|c0_g2_i1	7	21
TR337|c0_g1_i1	10	11
TR337|c0_g2_i1	5	0
TR338|c0_g1_i1	9	12
TR339|c0_g1_i1	12	20
TR340|c0_g1_i1	3	10
TR341|c0_g1_i1	0	0
TR341|c0_g2_i1	5	7
TR342|c0_g1_i1	4	3
TR343|c0_g1_i1	19	0
TR343|c0_g2_i1	13	28
TR344|c0_g1_i1	299	267
TR345|c0_g1_i1	15	1
TR345|c0_g2_i1	3	2
TR346|c0_g1_i1	53	73
TR347|c0_g1_i1	55	10
TR348|c0_g1_i1	13	56
TR349|c0_g1_i1	37	74
TR350|c0_g1_i1	9	20
TR351|c0_g1_i1	3	4
TR351|c0_g2_i1	8	0
TR352|c0_g1_i1	5	8
TR352|c0_g2_i1	5	8
TR353|c0_g1_i1	6	7
TR353|c0_g2_i1	0	0
TR354|c0_g1_i1	44	47
TR355|c0_g1_i1	12	0
TR355|c0_g2_i1	5	8
TR356|c0_g1_i1	5	3
TR357|c0_g1_i1	4	7
TR358|c0_g1_i1	9	8
TR358|c0_g2_i1	0	0
TR359|c0_g1_i1	23	28
TR359|c0_g2_i1	0	1
TR360|c0_g1_i1	2	0
TR360|c0_g2_i1	2	13
TR361|c0_g1_i1	22	0
TR361|c0_g2_i1	65	46
TR362|c0_g1_i1	9	7
TR363|c0_g1_i1	3	13
TR364|c0_g1_i1	2	24
TR364|c0_g2_i1	2	0
TR365|c0_g1_i1	22	0
TR365|c0_g2_i1	0	19
TR366|c0_g1_i1	2	12
TR367|c0_g1_i1	12	20
TR368|c0_g1_i1	0	42
TR368|c0_g1_i2	0	0
TR369|c0_g1_i1	224	208
TR370|c0_g1_i1	11	12
TR371|c0_g1_i1	49	50
TR371|c0_g2_i1	0	24
TR372|c0_g1_i1	0	0
TR372|c0_g2_i1	3	5
TR373|c0_g1_i1	6	7
TR374|c0_g1_i1	14	18
TR375|c0_g1_i1	15	2
TR375|c0_g1_i2	14	5
TR376|c0_g1_i1	62	226
TR377|c0_g1_i1	17	16
TR378|c0_g1_i1	5	10
TR379|c0_g1_i1	5	4
TR379|c0_g2_i1	2	8
TR380|c0_g1_i1	23	0
TR380|c0_g2_i1	10	22
TR381|c0_g1_i1	5	8
TR382|c0_g1_i1	12	21
TR383|c0_g1_i1	3	10
TR384|c0_g1_i1	2	26
TR385|c0_g1_i1	11	23
TR386|c0_g1_i1	5	9
TR387|c0_g1_i1	1	34
TR388|c0_g1_i1	44	1
TR389|c0_g1_i1	6	13
TR390|c0_g1_i1	1	4
TR391|c0_g1_i1	22	25
TR392|c0_g1_i1	57	50
